question,note,optionD,optionC,optionB,mark,count,optionF,questionid,subject,optionE,year,type,optionA,paperName,answer
矿尘的产生量与顶板管理方式无关。,,,,,0,,,1202,,,2012,判断题,,一通三防,n
在山坡下开凿斜井和平硐时，井口顶、侧，必须构筑挡墙和防洪水沟。,,,,,0,,,2523,,,2017,判断题,,2017B500,y
《煤矿隐患排查和整顿关闭实施办法<试行>》规定：煤矿有下列(        )情形之一的，负责煤矿有关证照颁发的部门应当责令该煤矿立即停止生产，提请县级以上地方人民政府予以关闭，并可以向上一级地方人民政府报告。,,1个月内3次或者3次以上发现煤矿特种作业人员无证上岗的,1个月内3次或者3次以上发现煤矿未依照国家有关规定对井下作业人员进行安全生产教育和培训的,停产整顿验收不合格的,0,3,,573,,,2012,多选题,3个月内2次或者2次以上发现有重大安全生产隐患，仍然进行生产的,法律法规,ABCD
专用排瓦斯巷必须贯穿整个工作面推进长度且不得留有盲巷。,,,,,0,,,1238,,,2012,判断题,,一通三防,y
独头巷道停风的安全措施有(        ),,停风的独头巷道，每班在栅栏处至少检查1次瓦斯。如发现栅栏内侧1m处瓦斯浓度超过3％，应采用木板密闭予以封闭,独头巷道口设置栅栏，并悬挂明显警标牌，严禁人员人内,人员撤至全风压通风的进风流中,0,5,,652,,,2012,多选题,风电闭锁装置立即切断局部通风机供风巷道的一切电气设备的电源,一通三防,ABCD
使用止血带应注意(        )。,,缚扎部位尽量靠近伤口以减少缺血范围,避免勒伤皮肤,必须作出显著标志，注明使用时间,0,1,,902,,,2012,多选题,扎止血带时间越短越好,应急管理,ABCD
断层对煤矿安全生产的影响表现在(        ),,断层破碎带可能聚积瓦斯，当工作面通过时，容易发生瓦斯事故,容易引起断层透水事故,会给支护工作和顶板管理带来困难，管理不善会造成顶板事故,0,4,,630,,,2012,多选题,断层破碎严重时，影响采区划分和工作面巷道布置,地质安全,ABCD
泥岩一般为(        )。,,,潜水层,隔水层,0,,,306,,,2012,单选题,含水层,地质安全,B
只有每个从业人员都认真履行自己在安全生产方面的(        )，安全生产工作才有扎实的基础，才能落到实处。,,,权力,权利,0,1,,267,,,2012,单选题,法定义务,安全管理,A
管生产必须管(        )、谁主管谁负责，这是我国安全生产工作长期坚持的一项基本原则。,,,经营,事故,0,,,198,,,2012,单选题,安全,安全管理,A
临时停工的地点，不得停风；否则必须切断电源，设置()，禁止人员进入，并向矿调度室报告。,,安全员,栅栏、警标,密闭,0,,,2722,,,2017,单选题,警戒线,2017B500,C
煤系顶、底部有强岩溶承压含水层时，主要运输巷和主要回风巷必须布置在不受水威胁的层位中，并以石门分区隔离开采。,,,,,0,2,,1054,,,2012,判断题,,地质安全,y
《安全生产法》规定：因生产安全事故受到损害的从业人员，在依法享有工伤保险外，不得再向本单位提出赔偿要求。,,,,,0,1,,1797,,,2016,判断题,,2016B500,n
《安全生产法》所确立的安全生产监督管理法律制度，充分体现了(        )监管的宗旨。 ,,人性,强化,合理,0,,,2127,,,2016,单选题,综合,2016B500,C
在导致事故发生的各种原因中，(        )占有主要地位。,,,不可测知的因素,物的因素,0,1,,412,,,2012,单选题,人的因素,安全管理,A
巷道砌碹时，碹体与顶帮之间必须用不燃物充满填实，巷道冒顶空顶部分可用支护材料接顶，但在碹拱上部必须充填不燃物垫层，其厚度不得小于(        )m。,,,0.5,0.4,0,,,23,,,2012,单选题,0.3,开采安全,C
煤矿重大安全生产隐患包括下列情形(        ),,传感器设置数量不足、安设位置不当、调校不及时，瓦斯超限后不能断电并发出声光报警,未配备专职人员对矿井安全监控系统进行管理、使用和维护,矿井绝对瓦斯涌出量大于或等于40m?／min，而未建立抽放瓦斯系统,0,,,571,,,2012,多选题,1个采煤工作面的瓦斯涌出量大于5m?个掘进工作面瓦斯涌出量大于3m?／min，用通风方法解决瓦斯问题不合理而未建立抽放瓦斯系统,法律法规,ABCD
采区巷道布置方式应根据煤层赋存条件、开采技术条件、采煤方法、采掘机械化装备水平、采区运输方式、采区设计生产能力等因素，经技术经济比较后确定。,,,,,0,,,2035,,,2016,判断题,,2016B500,y
采用增阻调节法时，会造成矿井总风量减少，减少的大小与主要通风机特性曲线的陡缓无关 。,错误原因：无关，正确为：有关,,,,0,,,2063,,,2016,判断题,,2016B500,n
煤矿的(        )应当组织制定并实施本单位的生产安全事故应急救援预案。,,,从业人员,安全管理人员,0,,,534,,,2012,单选题,主要负责人,法律法规,A
区巷道矿压显现最强烈的阶段是(        )。,,,无采掘影响阶段,采动影响阶段,0,,,464,,,2012,单选题,巷道掘进阶段,开采安全,B
无极绳连续牵引车、绳牵引卡轨车、绳牵引单轨吊车运行时绳道内严禁有人。（）,,,,,0,,,2485,,,2017,判断题,,2017B500,y
《矿山安全法》规定：矿长必须经过考核，具备安全专业知识，具有领导安全生产和处理矿山事故的能力。矿山企业安全工作人员必须具备必要的安全专业知识和矿山安全工作经验。,,,,,0,,,1544,,,2012,判断题,,法律法规,y
"空顶作业是煤矿工人在未采取可靠支护措施的顶板下作业,属于（）。",,违章指挥,严重的违章冒险作业,重大安全隐患,0,,,2799,,,2017,多选题,一般隐患,2017B500,"B,C"
受水淹区积水威胁的区域，必须在排除积水、消除威胁后方可进行采掘作业；如果无法排除积水，开采倾斜、缓倾斜煤层的，必须按有关规定，编制专项开采设计。,,,,,0,2,,1045,,,2012,判断题,,地质安全,y
处理采煤工作面回风隅角瓦斯积聚的方法有(        ),,移动泵站抽放法等,风筒导风法,尾巷排放瓦斯法,0,1,,676,,,2012,多选题,挂风障引流法,一通三防,ABCD
下列哪些地方需双回路供电()。,,地面安全监控中心,抽采瓦斯泵,提升人员的提升机,0,3,,2841,,,2017,多选题,主通风机,2017B500,"A,B,C,D"
被动支护方式主要有(        )支护等。,,砌碹支护,架棚支护,喷射混凝土,1,1,,765,,,2012,多选题,锚杆,开采安全,CD
井下可以安设辅助通风机。（）,井下严禁安设辅助通风机,,,,0,,,2494,,,2017,判断题,,2017B500,n
AHG-6氧气呼吸自动肺自行连续动作的可能原因是(        )。,,,调节弹簧收缩,橡胶管或垫未套在管上,0,,,2261,,,2016,单选题,隔膜歪斜,2016B500,B
《安全生产法》规定，生产经营单位应当在有较大危险因素的生产经营场所和有关设施、设备上，设置明显的(        )。,,安全检验检测标志,安全合格标志,安全警示标志,1,,,2115,,,2016,单选题,安全使用标志,2016B500,B
"采掘工作面配电点的位置和空间必须能满足（）的要求,并用不燃性材料支护。",,运输,检修,拆除,0,1,,2855,,,2017,多选题,设备安装,2017B500,"A,B,C,D"
在生产活动中，为消除能导致人身伤亡或造成设备、财产破坏以及危害环境的因素而制定的具体技术要求和实施程序的统一规定是指(        )。,,,。规章制度,安全操作规程,0,,,199,,,2012,单选题,安全法规,安全管理,B
处理煤尘爆炸的首要问题是(        )。,,,防止引起瓦斯爆炸,防止火灾事故,0,,,276,,,2012,单选题,防止二次爆炸,应急管理,A
事故发生后，事故现场有关人员应当立即向本单位负责人报告，单位负责人接到报告后，应当在两小时内向事故发生地县级以上人民政府安全生产监督管理部门和负有安全生产监督管理职责的有关部门报告。,,,,,0,,,1545,,,2012,判断题,,法律法规,n
对于未进行作业的采掘工作面，可能涌出或积聚瓦斯、二氧化碳的硐室和巷道，应每班至少检查()甲烷或二氧化碳浓度。,,4次,3次,2次,0,,,2733,,,2017,单选题,1次,2017B500,A
呼吸舱式正压氧气呼吸器吸气阻力过大的可能原因是(        ). ,,,面罩上吸气阀粘连,呼吸舱内的自动补给阀失灵,0,,,2259,,,2016,单选题,呼吸舱内的吸气阀粘连,2016B500,A
当采高超过()m或者煤壁片帮严重时，液压支架必须设护帮板。当采高超过()m时，必须采取防片帮伤人措施。,,3、4.5,2.5、4,3、4,0,,,2599,,,2017,单选题,2.5、3.5,2017B500,D
危险是指系统发生不期望后果的可能性超过了(        )。,,,人们的承受程度,可预防的范围,0,,,209,,,2012,单选题,安全性要求,安全管理,C
煤矿建设、施工单位必须设置项目管理机构，配备满足工程需要的安全人员、技术人员和特种作业人员。,,,,,0,,,2405,,,2017,判断题,,2017B500,y
《煤矿安全规程》第二百八十一条规定：水仓、沉淀池和水沟中的淤泥，应及时清理，每年雨季前必须清理(        )次。,,,3,2,1,1,,51,,,2012,单选题,1,地质安全,A
在有瓦斯或煤尘爆炸危险的采掘工作面，应采用瞬发电雷管或毫秒延期电雷管爆破。,,,,,0,,,1332,,,2012,判断题,,爆破安全,y
煤矿对负有安全生产监督管理职责的部门的监督检查人员依法履行监督检查职责，应当予以(        )。,,,抵制,拒绝,0,,,390,,,2012,单选题,配合,法律法规,A
对现有生产矿井，用可燃性材料建筑的井架和井口房，必须制定防火措施.,,,,,0,,,1266,,,2012,判断题,,一通三防,y
探放水结束后，应当提交探放水总结报告存档备查。?（）,,,,,0,,,2429,,,2017,判断题,,2017B500,y
井筒开凿到底后，井底附近设置具有一定能力的临时排水设施，可向采区方向掘进；,,,,,0,,,1060,,,2012,判断题,,地质安全,n
我国《职业病防治法》规定：劳动者依法享有的职业卫生保护权利包括(        ),,依法拒绝作业权,知情权,获得职业健康检查、职业病诊疗、康复等职业病防治服务,0,1,,718,,,2012,多选题,接受职业卫生教育、培训,职业防护,ABCD
《山西省煤矿安全质量标准化》地测防治水专业对机构设置有哪些具体规定？(        ),,地测防治水部门配备矿井地质水文地质瓦斯地质(煤与瓦斯突出矿井)矿井储量管理矿井测量井下钻探物探制图绘图等方面满足工作需要的专业技术人员,水文地质条件复杂或极复杂煤与瓦斯突出冲击地压等矿井应设地测部门地测总工程师，有分管负责人,冲击地压矿井设立专门的防治冲击地压机构,0,,,2357,,,2016,多选题,水文地质条件复杂或极复杂的矿井设立专门的防治水机构,2016B500,A，B，C，D
井工煤矿必须制定停工停产期间的安全技术措施，保证矿井供电、通风、排水和安全监控系统正常运行，落实()值班制度。,,,24h,12h,0,1,,2587,,,2017,单选题,8h,2017B500,C
煤矿领导带班下井实行井口交接班制度。上一班的带班领导应当在井口向接班的领导详细说明井下安全状况、存在的问题及原因、需要注意的事项等，并认真填写交接班记录簿。,,,,,0,,,1676,,,2012,判断题,,法律法规,n
煤矿企业主要负责人是指煤矿股份有限公司、有限责任公司、及所属子公司、分公司的董事长、总经理，矿物局局长、煤矿矿长等人员。,,,,,0,,,1586,,,2012,判断题,,法律法规,y
煤矿企业应当于每季度第一周将上季度重大隐患及排查整改情况向县级以上地方人民政府负责煤矿安全生产监督管理的部门、煤矿安全监察机构提交书面报告，报告应当经煤矿企业主要负责人签字。,,,,,0,,,1657,,,2012,判断题,,法律法规,y
生产经营单位主要负责人有责任组织制定本单位安全生产规章制度和操作规程。,,,,,0,,,993,,,2012,判断题,,安全管理,y
生产经营规模较小的生产经营单位在建立应急救援组织时，(        )。,,不应当配备应急救援设备,应当指定专职的应急救援人员,可以不建立应急救援组织,0,1,,2283,,但应当指定兼职的应急救援人员,2016,多选题,必须建立应急救援组织,2016B500,B，E
开采煤炭资源未达到国务院煤炭管理部门规定的煤炭资源回采率的，由煤炭管理部门责令限期改正；逾期仍达不到规定的回采率的，(        )其煤炭生产许可证。,,,暂扣和吊销,吊销,1,,,510,,,2012,单选题,暂扣,法律法规,B
生产经营项目、场所有多个承包单位、承租单位的，生产经营单位应当(        )。,,要求承包单位承租单位支付安全生产管理费用,要求承包单位承租单位与员工订立劳动合同,对承包单位承租单位的安全生产工作统一协调管理,1,3,,2266,,"  ",2016,多选题,与承包、承租单位签订专门的安全生产管理协议,2016B500,A，B，C，D
《国务院办公厅关于进一步加强煤矿安全生产工作的意见》[国办发〔2013〕99号]要求严格煤矿生产工艺和技术设备准入，严禁使用国家明令禁止或淘汰的(        )。,,,设备和工艺,技术和工艺,0,,,2175,,,2016,单选题,产品和工艺,2016B500,C
《山西省煤矿安全质量标准化标准》中调度专业标准要求煤矿发生影响生产超过1小时的非人身伤亡生产事故，重伤及小于3人以下人身伤亡事故，应立即向(        )汇报。,,安全生产管理部门负责人,当班值班领导,上一级调度部门,0,,,2200,,,2016,单选题,调度部门,2016B500,C
矿井应当在地面集中设置空气压缩机站。（）,,,,,0,,,2489,,,2017,判断题,,2017B500,y
井下爆炸材料库应采用硐室式或(        )。,,,躲避洞式,壁槽式,0,,,433,,,2012,单选题,套间式,爆破安全,B
在（）的电缆可采用铝芯电缆;其他地点的电缆必须采用铜芯电缆。,,井底车场附近,井下中央变电所至采区变电所之间,井底车场,0,,,2860,,,2017,多选题,进风斜井,2017B500,"A,B,C,D"
劳动保护用品分为特种劳动保护用品和一般劳动保护用品。,,,,,0,,,938,,,2012,判断题,,安全管理,y
煤矿企业的主要负责人在本单位发生重大伤亡事故后逃匿的，由(        )处十五日以下拘留。,,国务院,安全生产监督管理部门,检察机关,0,2,,2094,,,2016,单选题,公安机关,2016B500,A
根据《煤矿重大安全生产隐患认定办法<试行>》之规定，煤矿<矿井>实行承包<托管>但未签订安全生产管理协议或者载有双方安全责任与权力内容的承包合同进行生产的，属于煤矿重大安全生产隐患。,,,,,0,,,1644,,,2012,判断题,,法律法规,y
局部通风机因故停止运转，在恢复通风前，必须首先检查瓦斯，只有停风区中最高甲烷浓度不超过1.0%和最高二氧化碳浓度不超过1.5%，且局部通风机及其开关附近10m以内风流中的甲烷浓度都不超过()时，方可人工开启局部通风机，恢复正常通风。,,0.50%,0.80%,1.00%,0,,,2724,,,2017,单选题,1.2%,2017B500,D
"采煤机停止工作或者检修时,必须（）",,打开截割部离合器,断开采煤机隔离开关,断开前级供电开关隔离开关,0,,,2835,,,2017,多选题,切断采煤机前级供电开关电源,2017B500,"A,B,C,D"
生产、经营、储存、使用危险物品的车间、仓库可以与员工宿舍在同一座建筑物内，但应与员工宿舍保持一定安全距离。,,,,,0,,,1759,,,2016,判断题,,2016B500,n
工作面转载机安有破碎机时，必须有安全防护装置。,,,,,0,,,1191,,,2012,判断题,,开采安全,y
停工区内甲烷或二氧化碳浓度达到3.0%或其他有害气体浓度超过本规程的相关规定不能立即处理时，必须在24h内封闭完毕.恢复已封闭的停工区或采掘工作接近这些地点时，必须事先()。,,恢复供电,加强顶板支护,排除其中积聚的瓦斯,0,,,2723,,,2017,单选题,通风,2017B500,B
生产经营场所和员工宿舍应当设有符合紧急疏散要求、标志明显、保持通畅的出口。禁止(        )生产经营场所或者员工宿舍的出口。,,堵塞,封堵,锁闭,0,3,,2310,,拆卸,2016,多选题,封闭,2016B500,B，C
下列(        )应设置辅助隔爆棚。,,,采区间集中运输大巷,相邻煤层运输石门,0,,,233,,,2012,单选题,采煤工作面进回风巷,一通三防,A
依照有关法律、行政法规的规定，对生产安全事故的责任者，构成犯罪的，由司法机关依法追究其(        )。,,,刑事责任,行政责任,0,,,386,,,2012,单选题,民事责任,法律法规,C
根据《煤矿重大安全生产隐患认定办法<试行>》之规定，煤与瓦斯突出矿井装备矿井监控系统和抽放瓦斯系统，设置采区专用回风巷的，不属于煤矿重大安全生产隐患。,,,,,0,,,1610,,,2012,判断题,,法律法规,y
井下作业人员管理系统一般由（）和其他必要设备组成。,,避雷器,"电缆,接线盒","分站,识别卡,电源箱",0,,,2863,,,2017,多选题,"主机,传输接口",2017B500,"A,B,C,D"
发生煤与瓦斯突出事故后，指挥人员应派人到进、回风井口及其(        )m范围内检查瓦斯，设置警戒，熄灭警戒内的一切火源，严禁机动车辆进入警戒区。,,,60,50,0,1,,165,,,2012,单选题,40,应急管理,B
安全生产监督检查人员应当将检查的(        )作出书面记录，并由检查人员和被检查单位的负责人签字。,,发现的问题及其处理情况,天气状况,现场人数,1,,,2288,,周边环境,2016,多选题,时间地点内容,2016B500,A，D
《煤矿安全规程》规定：掘进中的煤及半煤岩巷最低允许风速为(        )m／s。,,,0.35,0.25,0,,,15,,,2012,单选题,0.15,一通三防,B
井下矿用防爆型蓄电池电机车的电气设备需要检修时，可就地进行。,,,,,0,,,1370,,,2012,判断题,,机电运输,n
在中华人民共和国领域内从事()活动，必须遵守本规程。,,矿山建设,煤矿建设,煤炭生产和煤矿建设,0,,,2586,,,2017,单选题,煤炭生产,2017B500,B
在向老空区打钻探水时，钻探接近老空水时，应当安排(        )在现场值班，随时检查空气成分。,,,专职瓦斯检查员或者矿山救护队员,爆破员和救护员,0,,,215,,,2012,单选题,班组长或瓦斯检查,地质安全,C
识别卡的主要作用是由井下人员携带，保存有约定的电子数据，当进入位置监测分站的识别范围时，将用于人员识别的数据发送给识别卡。,发送给分站,,,,0,,,2519,,,2017,判断题,,2017B500,n
“超能力、超强度或者超定员组织生产”是指有下列（）情形之一。,,一个采区内同一煤层布置3个（含3个）以上回采工作面或5个（含5个）以上掘进工作面同时作业,矿井月产量超过当月产量计划10%,矿井全年产量超过矿井核定生产能力,1,,,2794,,,2017,多选题,矿井全年产量达到矿井核定生产能力,2017B500,"B,C,D"
未按规定对员工进行安全教育和技术培训，或使用未经考试合格的人员上岗造成事故的领导者不负领导责任。,,,,,0,,,987,,,2012,判断题,,安全管理,n
矿井同时生产的水平一般中厚煤层不得超过2个，薄煤层可以不超过3个。,,,,,0,,,2540,,,2017,判断题,,2017B500,n
根据法律规定，构成重大劳动安全事故犯罪，应承担(        )。,,,民事责任,行政责任,0,,,468,,,2012,单选题,刑事责任,法律法规,A
依据《安全生产法》的规定，矿山、金属冶炼建设项目和用于生产、储存危险物品的建设项目竣工投入生产或者使用前，应当(        )对安全设施进行验收。,,依据国家标准和行业标准,国家安全监督管理部门,按照有关法律行政法规的规定,0,,,2133,,,2016,单选题,由建设单位负责组织,2016B500,A
《煤矿安全规程》第二百五十六条规定：当矿井受到河流、山洪威胁时，修筑堤坝和泄洪渠，有效(        )。,,,防止洪水侵入,防止渗水,0,,,278,,,2012,单选题,防止淹井,地质安全,C
煤矿新招人矿的井下作业人员实习满(        )个月后，方可独立上岗作业。,,,4,3,1,1,,74,,,2012,单选题,1,法律法规,C
矿山岩石按其生成原因不同，可分为岩浆岩、沉积岩和变质岩，煤层的顶板和底板多是由沉积岩组成。,,,,,0,2,,1088,,,2012,判断题,,地质安全,y
褶曲在煤层底板等高线图上表现为等高线(        )。,,,弯曲,中断,0,,,426,,,2012,单选题,水平,地质安全,C
" 依据《矿山安全法》的规定，工会在矿山企业安全管理工作中具有的基本权利有(        )。",,依法对安全生产工作进行监督,对职工进行安全教育培训,依法参加事故调查,0,2,,2318,,发现危险情况时，有权建议组织从业人员撤离,2016,多选题,制定矿山灾害的预防和应急计划,2016B500,B，D，E
降低通风阻力的措施有(        ),,缩短巷道的长度,选择巷道周长与断面积比较小的巷道形状,扩大巷道断面,0,5,,713,,,2012,多选题,降低摩擦阻力系数,一通三防,ABCD
开采煤炭资源未达到国务院煤炭管理部门规定的煤炭资源回采率的由煤炭管理部门责令限期整改；逾期仍达不到规定回采率的，吊销其煤炭生产证。,,,,,0,,,1531,,,2012,判断题,,法律法规,y
属于规章范畴的有(        )。,,《安全生产许可证条例》,《安全生产违法行为行政处罚办法》,《煤矿安全监察条例》,0,3,,570,,,2012,多选题,《煤矿安全规程》,法律法规,AC
在坚硬和稳定的煤、岩层中，确定巷道不设支护时，必须制定安全措施。,,,,,0,,,1139,,,2012,判断题,,开采安全,y
综采工作面液压支架顶梁与顶板要平行支设，其最大仰角应小于10°,,,,,0,,,1116,,,2012,判断题,,开采安全,n
掘进井巷和硐室时，必须采取(        )洒水和净化风流等综合防尘措施。,,爆破喷雾,水炮泥,。冲洗井壁巷帮,0,1,,816,,,2012,多选题,湿式钻眼,职业防护,ABCD
工作水泵和备用水泵的总能力，应能在20h排出矿井24h的最大涌水量。（）,,,,,0,,,2503,,,2017,判断题,,2017B500,y
入井(场)人员必须戴安全帽等个体防护用品，穿带有反光标识的工作服。入井(场)前严禁饮酒。,,,,,0,,,2386,,,2017,判断题,,2017B500,y
《国务院关于预防煤矿生产安全事故的特别规定》规定：对(        )个月内2次或者2次以上发现有重大安全生产隐患，仍然进行生产的煤矿，县级以上地方人民政府负责煤矿安全生产监督管理的部门、煤矿安全监察机构应当提请有关地方人民政府关闭该煤矿，并由颁发证照的部门立即吊销矿长资格证和矿长安全资格证。,,,1,2,0,,,137,,,2012,单选题,3,法律法规,A
"井下作业人员管理系统按照信号传输方向分类,应分为（）。",,全双工,半双工,双向,0,,,2862,,,2017,多选题,单向,2017B500,"A,C,D"
煤矿必须建立专门的()作业队伍。?,,钻探,物探,注浆,0,,,2618,,,2017,单选题,探放水,2017B500,A
井下防爆电气设备变更额定值使用和进行技术改造时，必须经国家授权的矿用产品质量监督检验部门检验合格后，方可投入运行。,,,,,0,,,1404,,,2012,判断题,,机电运输,y
采用机车运输时，列车的制动距离每年至少测定一次，运送物料时不得超过40m。,,,,,0,,,1348,,,2012,判断题,,机电运输,y
启封火区和恢复火区初期通风等工作，必须由矿通风科负责进行，火区回风风流所经过巷道中的人员必须全部撤出。,,,,,0,1,,1283,,,2012,判断题,,一通三防,n
应急救援预案能否在应急救援中成功发挥作用，不仅取决于应急预案自身的完善程度，还取决于应急准备的充分与否。应急准备应包括(        )。,,应急资源的准备,公众教育、应急人员的培训和预案演练,准备应急救援法律法规,0,,,668,,,2012,多选题,各应急组织及其职责权限的明确,应急管理,ACD
倾斜长壁采煤工作面，当瓦斯涌出量较大时，宜采用俯斜推进。,,,,,0,,,1182,,,2012,判断题,,开采安全,y
《煤矿安全监察条例》规定：煤矿建设工程安全设施和条件未经验收或者验收不合格，擅自投人生产的，由煤矿安全监察机构责令(        )。,,,停止使用,停止生产,0,,,293,,,2012,单选题,关闭,法律法规,B
《山西省煤矿建设标准》要求矿井工业场地内宜采用(        )储存煤炭。,,,露天存放,筒仓,0,,,2203,,,2016,单选题,储煤场,2016B500,B
《煤矿安全规程》规定：水冷式空气压缩机必须有(        )。,,压力表,电流表,安全阀,0,1,,632,,,2012,多选题,断水信号显示装置,机电运输,ABD
每次降大到暴雨时和降雨后，应当有专业人员分工观测井上下、有关水文变化情况以及矿区附近地面有无裂缝、老窑陷落和岩溶塌陷等现象，并(        )。,,,停止工作,立即处理,0,2,,322,,,2012,单选题,及时报告矿调度室及有关负责人,地质安全,A
通风机的速压大于扩散器出口断面的速压。,错误原因：大于正确为：等于,,,,0,,,1837,,,2016,判断题,,2016B500,n
未经安全生产教育和培训合格的从业人员，不得上岗作业。,,,,,0,,,1736,,,2016,判断题,,2016B500,y
滚筒驱动的带式输送机可以不使用阻燃输送带。,,,,,0,,,1335,,,2012,判断题,,机电运输,n
井下由采区变电所、移动变电站或配电点引出的馈电线上，应装设短路、过负荷和漏电保护装置。,,,,,0,,,1407,,,2012,判断题,,机电运输,y
重大危险源控制系统由以下(        )部分组成。,,事故应急救援预案,重大危险源的管理,重大危险源的评价,0,3,,917,,,2012,多选题,重大危险源的辨识,应急管理,ABCD
《煤矿安全规程》第二百七十一条规定：矿井建设和延深中，当开拓到设计水平时，只有在建成(        )后，方可开始向有突水危险地区开拓掘进。,,,水闸墙,防水闸门,0,,,270,,,2012,单选题,防、排水系统,地质安全,A
《煤矿安全规程》第八十三条规定：开采煤层群时，应优先选择(        )的煤层作为保护层开采。,,剧烈冲击地压,强冲击地压,弱冲击地压,1,,,863,,,2012,多选题,无冲击地压,开采安全,AB
井下每一移动式和手持式电气设备至局部接地极之间的保护接地用的电缆芯线和接地连接导线的电阻值，不得超过(        )Ω。,,,3,2,0,,,70,,,2012,单选题,1,机电运输,A
《山西省煤矿现代化矿井标准》要求坚持绿色发展，保护生态环境，其中(        )要求达到100%。,,出井煤矸石综合利用处置率,瓦斯抽采率,矿井水处理率,0,4,,2342,,"  ",2016,多选题,原煤洗(选)率,2016B500,A，B，D
安全防护、保险、信号等装置缺乏或有缺陷；设备、设施、工具、附件有缺陷；个人防护用品用具缺少或有缺陷；生产<施工>场地环境不良等，均属于事故发生原因中的(        )。,,,管理缺陷,物的不安全状态,0,,,410,,,2012,单选题,人的不安全行为,安全管理,B
危险源是控制事故隐患的安全措施的失效。,,,,,0,,,1002,,,2012,判断题,,安全管理,n
《山西省煤矿安全质量标准化》采煤专业要求矿井不得存在以下哪些情况？(        ),,,采煤工作面回采率未达到规定要求,采煤工作面未实现正规壁式开采或未按批准的采煤方法开采,0,1,,2351,,,2016,多选题,采煤工作面数量超出允许布置个数,2016B500,A，B，C
立井提升中，升降人员或升降人员和物料用的钢丝绳在1个捻距内，断丝断面积与钢丝总断面积之比达到(        )％时，必须更换。,,,10,6,0,,,175,,,2012,单选题,5,机电运输,A
按照《山西省煤矿瓦斯抽采全覆盖工程实施方案》[晋政办发[2015]69号]，以下对瓦斯抽采全覆盖工程基本原则表述不正确的是(        )。,,瓦斯抽采多措并举应抽尽抽抽采达标以用促抽以抽保安。,煤矿瓦斯防治以合理采掘部署为保障，先抽后掘先抽后采抽掘采平衡。,瓦斯抽采利用企业主导政府负责。,0,,,2221,,,2016,单选题,煤矿井下瓦斯抽采与地面煤层气开发相统筹。,2016B500,B
井下机电设备硐室内各种设备相互之间应留出(        )m以上的通道。,,,0.5,0.7,0,2,,4,,,2012,单选题,0.8,机电运输,A
《安全生产法》规定，矿山、金属冶炼、建筑施工、道路运输单位和危险物品的生产、经营、储存单位，应当设置安全生产管理机构或者配备专职安全生产管理人员。上述以外的其他生产经营单位，从业人员超过(        )人的，应当设置安全生产管理机构或者配备专职安全生产管理人员。,,200,300,400,0,,,2163,,,2016,单选题,100,2016B500,A
巷道支护时应尽量做到支架与围岩共同承载。,,,,,0,,,1128,,,2012,判断题,,开采安全,y
开采煤碳资源必须符合煤矿开采规程，遵守合理的开采顺序，达到规定的煤炭资源回采率。,,,,,0,,,1528,,,2012,判断题,,法律法规,y
通风瓦斯日报必须送矿长、矿总工程师审阅，一矿多井的矿必须同时送()、井技术负责人审阅。对重大的通风、瓦斯问题，应制定措施，进行处理。,,矿总工程师,通风矿长,井长,0,,,2738,,,2017,单选题,矿长,2017B500,B
要使排尘效果最佳，必须使风速达到或接近最优排尘风速而不能超过。,,,,,0,,,1207,,,2012,判断题,,一通三防,y
煤矿主要职业危害因素物理因素有(        )等。,,二氧化碳，,光线,高温,0,,,898,,,2012,多选题,噪声,安全管理,AB
根据《举报煤矿重大安全生产隐患和违法行为的奖励办法<试行>》规定，举报煤矿非法生产的，即煤矿已被(        )，而擅自进行生产的，经核查属实的，给予举报人奖励。,,限期改正,停止作业,停产整顿,0,,,899,,,2012,多选题,责令关闭,法律法规,ABC
保障人民群众(        )安全，是制定《安全生产法》的目的之一。,,生命和健康,生命和财产,财产,0,,,2157,,,2016,单选题,生命,2016B500,C
《煤矿安全质量标准化标准》规定：综采工作面机道梁端至煤壁顶板的冒落高度不得大于(        )mm。,,,400,300,0,,,128,,,2012,单选题,200,开采安全,B
安全技术对策着重解决物的不安全状态 的问题，安全教育对策和安全管理对策则主要着眼于人的不安全行为的问题。,,,,,0,,,1845,,,2016,判断题,,2016B500,y
依法参加工伤保险，为从业人员缴纳保险费，是企业取得安全生产许可证必须具备的安全生产条件之一。,,,,,0,,,1563,,,2012,判断题,,法律法规,y
爆破前，班<组>长必须亲自布置专人在警戒线和可能进入爆破地点的所有道路上担任警戒工作。警戒人员必须在有掩护的安全地点进行警戒。警戒线处应设置(        )等标志。,,拉绳,栏杆,警戒网,0,1,,723,,,2012,多选题,警戒牌,爆破安全,ACD
井下用机车运送爆炸材料时，炸药和电雷管不得在同一列车内运输。如用同一列车运输，装有炸药与装有电雷管的车辆之间，以及装有炸药或电雷管的车辆与机车之间，必须用空车分别隔开，隔开长度不得小于(        )m。,,,45,30,0,1,,108,,,2012,单选题,15,爆破安全,B
安全生产管理机构的设置和专、兼职安全生产管理人员的配备，完全是根据生产经营单位的规模大小自行确定的。,,,,,0,,,963,,,2012,判断题,,安全管理,n
按发生冒顶事故的力学原因进行分类，可将煤层顶板事故分为(        )。,,推垮型冒顶,大型冒顶,漏垮型冒顶,1,1,,880,,,2012,多选题,压垮型冒顶,开采安全,ABD
